,0,1,2,3,4,5
1,,,,,,
2,['Logon Session: Logon Session Creation'],['Logon Session: Logon Session Creation'],['Logon Session: Logon Session Creation'],['Logon Session: Logon Session Creation'],['Application Log: Application Log Content'],['Logon Session: Logon Session Creation']
3,['Command: Command Execution'],['Command: Command Execution'],['Command: Command Execution'],['Command: Command Execution'],['Command: Command Execution'],['Command: Command Execution']
4,['Logon Session: Logon Session Creation'],['Logon Session: Logon Session Creation'],['Logon Session: Logon Session Creation'],['Logon Session: Logon Session Creation'],['Logon Session: Logon Session Creation'],['Logon Session: Logon Session Creation']
5,"['Logon Session: Logon Session Creation', 'User Account: User Account Authentication']","['Logon Session: Logon Session Creation', 'User Account: User Account Authentication']","['Logon Session: Logon Session Creation', 'User Account: User Account Authentication']","['Logon Session: Logon Session Creation', 'User Account: User Account Authentication']","['Logon Session: Logon Session Creation', 'User Account: User Account Authentication']","['Logon Session: Logon Session Creation', 'User Account: User Account Authentication']"
6,['Logon Session: Logon Session Creation'],['Logon Session: Logon Session Creation'],['Logon Session: Logon Session Creation'],['Logon Session: Logon Session Creation'],['Logon Session: Logon Session Creation'],['Logon Session: Logon Session Creation']
7,['User Account: User Account Authentication'],['User Account: User Account Authentication'],['User Account: User Account Authentication'],['User Account: User Account Authentication'],['User Account: User Account Authentication'],['User Account: User Account Authentication']
8,['Command: Command Execution'],['Command: Command Execution'],['Command: Command Execution'],['Command: Command Execution'],['Command: Command Execution'],['Command: Command Execution']
9,['Application Log: Application Log Content'],['Application Log: Application Log Content'],"['Application Log: Application Log Content', 'Web Credential: Web Credential Usage']",['Application Log: Application Log Content'],['Application Log: Application Log Content'],"['Application Log: Application Log Content', 'Web Credential: Web Credential Usage']"
10,['Network Traffic: Network Traffic Content'],['Network Traffic: Network Traffic Content'],['Network Traffic: Network Traffic Content'],['Network Traffic: Network Traffic Content'],"['Application Log: Application Log Content', 'Logon Session: Logon Session Creation']","['Command: Command Execution', 'File: File Access', 'File: File Creation']"
11,['Network Traffic: Network Traffic Flow'],['Network Traffic: Network Traffic Flow'],['Network Traffic: Network Traffic Flow'],['Network Traffic: Network Traffic Flow'],['Network Traffic: Network Traffic Flow'],['Network Traffic: Network Traffic Flow']
12,"['Network Traffic: Network Connection Creation', 'Network Traffic: Network Traffic Flow']","['Network Traffic: Network Connection Creation', 'Network Traffic: Network Traffic Flow']","['Network Traffic: Network Connection Creation', 'Network Traffic: Network Traffic Flow']","['Network Traffic: Network Connection Creation', 'Network Traffic: Network Traffic Flow']","['Network Traffic: Network Connection Creation', 'Network Traffic: Network Traffic Flow']","['Network Traffic: Network Connection Creation', 'Network Traffic: Network Traffic Flow']"
13,['Network Traffic: Network Traffic Content'],['Network Traffic: Network Traffic Content'],"['Application Log: Application Log Content', 'Operational Databases: Process History/Live Data']",['Network Traffic: Network Traffic Content'],"['Application Log: Application Log Content', 'Operational Databases: Process History/Live Data']","['Application Log: Application Log Content', 'Operational Databases: Process History/Live Data']"
14,['Network Traffic: Network Traffic Content'],['Network Traffic: Network Traffic Content'],"['Application Log: Application Log Content', 'Network Traffic: Network Traffic Content']","['Application Log: Application Log Content', 'Asset: Device Configuration/Parameters', 'Network Traffic: Network Traffic Content', 'Operational Databases: Device Alarm']",,
15,"['Network Traffic: Network Traffic Flow', 'Sensor Health: Host Status']","['Network Traffic: Network Traffic Flow', 'Sensor Health: Host Status']","['Network Traffic: Network Traffic Flow', 'Sensor Health: Host Status']","['Network Traffic: Network Traffic Flow', 'Sensor Health: Host Status']","['Network Traffic: Network Traffic Flow', 'Sensor Health: Host Status']","['Network Traffic: Network Traffic Flow', 'Sensor Health: Host Status']"
16,,,,,,
17,,,,,,
